2023-02-27 16:27:35,946: 'a': 
2023-02-27 16:27:36,136: 'b': 
2023-02-27 16:27:36,338: 'c': 
2023-02-27 16:27:36,528: 'd': 
2023-02-27 16:27:36,774: 'e': 
2023-02-27 16:27:36,998: 'f': 
2023-02-27 16:27:37,211: 'g': 
2023-02-27 16:27:37,984: 'h': 
2023-02-27 16:27:38,219: 'i': 
2023-02-27 16:27:38,465: 'j': 
2023-02-27 16:27:38,667: 'k': 
2023-02-27 16:27:38,880: 'l': 
2023-02-27 16:27:39,160: 'm': 
2023-02-27 16:27:39,341: 'n': 
2023-02-27 16:27:39,609: 'o': 
2023-02-27 16:27:39,811: 'p': 
2023-02-27 16:27:40,024: 'q': 
2023-02-27 16:27:40,248: 'r': 
2023-02-27 16:27:40,450: 's': 
2023-02-27 16:27:40,663: 't': 
2023-02-27 16:27:40,887: 'u': 
2023-02-27 16:27:41,088: 'v': 
2023-02-27 16:27:41,537: 'w': 
2023-02-27 16:27:41,773: 'x': 
2023-02-27 16:27:42,534: 'y': 
2023-02-27 16:27:42,814: 'z': 
2023-02-27 16:27:43,452: Key.space: 
2023-02-27 16:27:44,472: '1': 
2023-02-27 16:27:44,595: '2': 
2023-02-27 16:27:44,763: '3': 
2023-02-27 16:27:45,021: '4': 
2023-02-27 16:27:45,243: '5': 
2023-02-27 16:27:45,490: '6': 
2023-02-27 16:27:46,722: '7': 
2023-02-27 16:27:47,002: '8': 
2023-02-27 16:27:47,944: '9': 
2023-02-27 16:27:48,134: '0': 
2023-02-27 16:27:50,880: Key.space: 
2023-02-27 16:27:51,876: Key.alt_l: 
2023-02-27 16:27:52,190: Key.cmd: 
2023-02-27 16:27:54,295: Key.ctrl_l: 
2023-02-27 16:27:54,731: Key.shift: 
2023-02-27 16:27:55,101: Key.caps_lock: 
2023-02-27 16:27:55,493: Key.tab: 
2023-02-27 16:27:55,863: "'": 
2023-02-27 16:27:56,300: Key.esc: 
2023-02-27 16:27:58,474: Key.caps_lock: 
2023-02-27 16:27:59,124: Key.f1: 
2023-02-27 16:27:59,269: Key.f2: 
2023-02-27 16:27:59,482: Key.f3: 
2023-02-27 16:27:59,673: Key.f4: 
2023-02-27 16:27:59,942: Key.f5: 
2023-02-27 16:28:00,289: Key.f6: 
2023-02-27 16:28:00,629: Key.f7: 
2023-02-27 16:28:01,253: Key.f8: 
2023-02-27 16:28:02,137: Key.f9: 
2023-02-27 16:28:02,406: Key.f10: 
2023-02-27 16:28:02,652: Key.f11: 
2023-02-27 16:28:02,865: Key.f12: 
2023-02-27 16:28:04,379: '=': 
2023-02-27 16:28:04,636: '-': 
2023-02-27 16:28:04,848: Key.shift: 
2023-02-27 16:28:04,994: '_': 
2023-02-27 16:28:05,230: '+': 
2023-02-27 16:28:06,631: '\\': 
2023-02-27 16:28:07,785: '.': 
2023-02-27 16:28:07,975: ',': 
2023-02-27 16:28:08,412: ';': 
2023-02-27 16:28:08,648: '/': 
2023-02-27 16:28:09,713: ']': 
2023-02-27 16:28:09,880: Key.shift: 
2023-02-27 16:28:10,082: '}': 
2023-02-27 16:28:10,451: ['~']: 
2023-02-27 16:28:10,652: Key.shift: 
2023-02-27 16:28:10,878: ['^']: 
2023-02-27 16:28:11,851: Key.space: 
2023-02-27 16:28:12,681: ['�']: 
2023-02-27 16:28:12,838: Key.shift: 
2023-02-27 16:28:13,253: ['`']: 
2023-02-27 16:28:13,522: Key.space: 
2023-02-27 16:28:15,259: '[': 
2023-02-27 16:28:15,394: Key.shift: 
2023-02-27 16:28:15,730: '{': 
2023-02-27 16:28:15,842: Key.space: 
2023-02-27 16:28:17,377: Key.shift_r: 
2023-02-27 16:28:17,579: Key.ctrl_r: 
2023-02-27 16:28:17,780: Key.menu: 
2023-02-27 16:28:18,206: Key.ctrl_l: 
2023-02-27 16:28:18,206: Key.alt_gr: 
2023-02-27 16:28:18,978: Key.shift_r: 
2023-02-27 16:28:19,225: Key.enter: 
2023-02-27 16:28:19,471: Key.backspace: 
2023-02-27 16:28:22,003: Key.scroll_lock: 
2023-02-27 16:28:22,227: Key.pause: 
2023-02-27 16:28:22,451: Key.page_up: 
2023-02-27 16:28:22,709: Key.home: 
2023-02-27 16:28:22,922: Key.insert: 
2023-02-27 16:28:23,146: Key.delete: 
2023-02-27 16:28:23,382: Key.end: 
2023-02-27 16:28:23,605: Key.page_down: 
2023-02-27 16:28:23,898: Key.insert: 
2023-02-27 16:28:24,279: Key.print_screen: 
2023-02-27 16:28:25,187: Key.left: 
2023-02-27 16:28:25,355: Key.up: 
2023-02-27 16:28:25,523: Key.down: 
2023-02-27 16:28:25,680: Key.right: 
2023-02-27 16:28:27,012: Key.alt_l: 
2023-02-27 16:28:27,124: Key.tab: 
